Price,Area,Location,BHK,Resale,SwimmingPool,LandscapedGardens,ClubHouse,CarParking,LiftAvailable,price_per_sq_ft
37000000,1850,Dahisar,3,True,True,True,True,True,True,20000.0
37000000,1850,Dahisar,3,True,True,True,True,True,True,20000.0
36500000,1361,Dahisar,2,True,True,True,True,True,True,26818.515797207936
28000000,1250,Dahisar,2,True,True,True,True,True,True,22400.0
37000000,1850,Dahisar,3,True,True,True,True,True,True,20000.0
26000000,1230,Dahisar,3,True,True,True,True,True,True,21138.211382113823
16000000,950,Dahisar,2,True,True,True,True,True,True,16842.105263157893
6700000,600,Dahisar,1,True,True,True,True,True,True,11166.666666666666
9000000,354,Dahisar,1,True,True,True,True,True,True,25423.728813559323
6000000,510,Dahisar,1,True,True,True,True,True,True,11764.70588235294
16500000,850,Dahisar,2,True,True,True,True,True,True,19411.764705882353
10000000,595,Dahisar,1,True,True,True,True,True,True,16806.722689075632
14500000,780,Dahisar,2,True,True,True,True,True,True,18589.74358974359
10000000,595,Dahisar,1,True,True,True,True,True,True,16806.722689075632
14500000,720,Dahisar,2,False,True,True,True,True,True,20138.88888888889
16700000,721,Dahisar,2,False,True,True,True,True,True,23162.2746185853
18500000,950,Dahisar,2,True,True,True,True,True,True,19473.684210526317
20000000,850,Dahisar,2,True,True,True,True,True,True,23529.41176470588
11000000,685,Dahisar,1,False,True,True,True,True,True,16058.39416058394
15500000,855,Dahisar,2,False,True,True,True,True,True,18128.654970760235
23500000,855,Dahisar,2,False,True,True,True,True,True,27485.380116959066
7000000,492,Dahisar,1,True,True,True,True,True,True,14227.642276422765
16299999,600,Dahisar,1,True,True,True,True,True,True,27166.665
6500000,566,Dahisar East,1,False,False,False,False,True,True,11484.098939929328
5800000,600,Dahisar East,1,True,True,True,True,True,True,9666.666666666666
14500000,580,Dahisar East,1,True,True,True,True,True,True,25000.0
22000000,1020,Dahisar East,2,True,True,True,True,True,True,21568.62745098039
8600000,580,Dahisar East,1,False,True,True,True,True,True,14827.586206896553
11500000,590,Dahisar East,1,True,True,True,True,True,True,19491.525423728814
14500000,580,Dahisar East,1,True,True,True,True,True,True,25000.0
14000000,485,Dahisar East,1,True,True,True,True,True,True,28865.9793814433
29500000,1300,Dahisar East,3,True,True,True,True,True,True,22692.30769230769
25800000,1026,Dahisar East,2,True,True,True,True,True,True,25146.198830409357
11500000,550,Dahisar West,1,True,True,True,True,True,True,20909.090909090908
15500000,1200,Dahisar West,3,True,True,True,True,True,True,12916.666666666666
